userid,version,sum_gamerounds,log_gamerounds,retention_1_int,retention_7_int,retention_score,engagement_tier_code,log_gamerounds_scaled,retention_1_int_scaled,retention_7_int_scaled,retention_score_scaled
3690,gate_30,13,2.6390573296152584,1,0,1,2,-0.15984184517839695,1.112909772772301,-0.47889623021007877,0.17117880488574516
3696,gate_30,50,3.9318256327243257,0,0,0,3,0.7022389656121908,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
3993,gate_40,202,5.313205979041787,1,1,3,5,1.6234105986879364,1.112909772772301,2.0881350424523637,2.071339349039964
4076,gate_40,0,0.0,0,0,0,0,-1.919693689446289,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
4162,gate_30,23,3.1780538303479458,0,0,0,3,0.19958724915152704,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
4176,gate_30,0,0.0,0,0,0,0,-1.919693689446289,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
4283,gate_30,103,4.6443908991413725,0,0,0,4,1.1774121587796542,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
4594,gate_30,27,3.332204510175204,0,0,0,3,0.3023824234529125,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
4653,gate_40,15,2.772588722239781,0,0,0,2,-0.07079661492105134,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
4881,gate_30,0,0.0,0,0,0,0,-1.919693689446289,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
4902,gate_40,1,0.6931471805599453,0,0,0,1,-1.4574694208149794,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
4916,gate_40,49,3.912023005428146,1,0,1,3,0.6890336101326218,1.112909772772301,-0.47889623021007877,0.17117880488574516
4918,gate_30,7,2.0794415416798357,0,0,0,2,-0.5330208835523608,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
4929,gate_30,386,5.958424693029782,1,1,3,5,2.0536738336035154,1.112909772772301,2.0881350424523637,2.071339349039964
4945,gate_40,25,3.258096538021482,1,0,1,3,0.2529636215170356,1.112909772772301,-0.47889623021007877,0.17117880488574516
5066,gate_30,1,0.6931471805599453,0,0,0,1,-1.4574694208149794,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
5215,gate_30,13,2.6390573296152584,1,0,1,2,-0.15984184517839695,1.112909772772301,-0.47889623021007877,0.17117880488574516
5286,gate_30,12,2.5649493574615367,1,0,1,2,-0.20926064711427386,1.112909772772301,-0.47889623021007877,0.17117880488574516
5345,gate_40,6,1.9459101490553132,0,0,0,2,-0.6220661138097063,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
5479,gate_30,25,3.258096538021482,1,0,1,3,0.2529636215170356,1.112909772772301,-0.47889623021007877,0.17117880488574516
5550,gate_30,29,3.4011973816621555,1,0,1,3,0.34839022736270886,1.112909772772301,-0.47889623021007877,0.17117880488574516
5661,gate_30,136,4.919980925828125,1,0,1,4,1.3611889988217105,1.112909772772301,-0.47889623021007877,0.17117880488574516
5712,gate_30,105,4.663439094112067,1,1,3,4,1.1901144220738125,1.112909772772301,2.0881350424523637,2.071339349039964
5920,gate_40,10,2.3978952727983707,1,0,1,2,-0.3206604396416372,1.112909772772301,-0.47889623021007877,0.17117880488574516
5943,gate_40,76,4.343805421853684,0,0,0,4,0.9769671359949456,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
6099,gate_40,138,4.9344739331306915,0,0,0,4,1.3708536413227235,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
6123,gate_30,0,0.0,0,0,0,0,-1.919693689446289,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
6151,gate_30,94,4.553876891600541,1,1,3,4,1.11705301412779,1.112909772772301,2.0881350424523637,2.071339349039964
6156,gate_40,1,0.6931471805599453,0,0,0,1,-1.4574694208149794,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
6492,gate_30,0,0.0,0,0,0,0,-1.919693689446289,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
6664,gate_40,26,3.295836866004329,1,0,1,3,0.27813070866537404,1.112909772772301,-0.47889623021007877,0.17117880488574516
6695,gate_40,127,4.852030263919617,1,0,1,4,1.315876190972877,1.112909772772301,-0.47889623021007877,0.17117880488574516
6833,gate_40,6,1.9459101490553132,0,0,0,2,-0.6220661138097063,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
6842,gate_40,4,1.6094379124341003,0,0,0,1,-0.8464421739724883,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
6924,gate_30,21,3.091042453358316,0,0,0,3,0.14156382898967226,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
6930,gate_40,297,5.697093486505405,1,1,3,5,1.8794054686818153,1.112909772772301,2.0881350424523637,2.071339349039964
7124,gate_40,108,4.6913478822291435,1,1,3,4,1.2087253600356185,1.112909772772301,2.0881350424523637,2.071339349039964
7253,gate_30,45,3.828641396489095,1,0,1,3,0.6334306959318887,1.112909772772301,-0.47889623021007877,0.17117880488574516
7321,gate_40,33,3.5263605246161616,0,0,0,3,0.4318551015396127,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
7509,gate_40,0,0.0,0,0,0,0,-1.919693689446289,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
7527,gate_30,80,4.394449154672439,0,0,0,4,1.010738841369262,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
7564,gate_30,21,3.091042453358316,0,0,0,3,0.14156382898967226,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
7582,gate_40,3,1.3862943611198906,0,0,0,1,-0.9952451521836702,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
7767,gate_30,139,4.941642422609304,1,1,3,4,1.375633938926713,1.112909772772301,2.0881350424523637,2.071339349039964
7866,gate_30,14,2.70805020110221,0,0,0,2,-0.11383404126860064,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
8063,gate_30,50,3.9318256327243257,1,0,1,3,0.7022389656121908,1.112909772772301,-0.47889623021007877,0.17117880488574516
8254,gate_40,14,2.70805020110221,0,0,0,2,-0.11383404126860064,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
8256,gate_40,14,2.70805020110221,0,0,0,2,-0.11383404126860064,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
8288,gate_30,9,2.302585092994046,0,0,0,2,-0.3842179053411787,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
8317,gate_40,3,1.3862943611198906,0,0,0,1,-0.9952451521836702,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
8379,gate_30,0,0.0,0,0,0,0,-1.919693689446289,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
8464,gate_30,10,2.3978952727983707,0,0,0,2,-0.3206604396416372,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
8465,gate_40,4,1.6094379124341003,0,0,0,1,-0.8464421739724883,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
8494,gate_30,5,1.791759469228055,1,0,1,1,-0.724861288111092,1.112909772772301,-0.47889623021007877,0.17117880488574516
8644,gate_30,2,1.0986122886681098,0,0,0,1,-1.1870855567424012,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
8679,gate_30,0,0.0,0,0,0,0,-1.919693689446289,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
8692,gate_30,3,1.3862943611198906,1,0,1,1,-0.9952451521836702,1.112909772772301,-0.47889623021007877,0.17117880488574516
8753,gate_40,10,2.3978952727983707,1,0,1,2,-0.3206604396416372,1.112909772772301,-0.47889623021007877,0.17117880488574516
8788,gate_30,19,2.995732273553991,0,1,2,3,0.07800636329013047,-0.8985454386917293,2.0881350424523637,1.1212590769628545
8801,gate_40,0,0.0,0,0,0,0,-1.919693689446289,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
8885,gate_40,5,1.791759469228055,0,0,0,1,-0.724861288111092,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
9001,gate_40,16,2.833213344056216,1,0,1,3,-0.03036916709169677,1.112909772772301,-0.47889623021007877,0.17117880488574516
9308,gate_40,95,4.564348191467836,1,0,1,4,1.1240357864141457,1.112909772772301,-0.47889623021007877,0.17117880488574516
9443,gate_40,3,1.3862943611198906,0,0,0,1,-0.9952451521836702,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
9589,gate_30,8,2.1972245773362196,0,0,0,2,-0.45447742403851354,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
9699,gate_40,8,2.1972245773362196,0,0,0,2,-0.45447742403851354,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
9828,gate_40,1,0.6931471805599453,0,0,0,1,-1.4574694208149794,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
9831,gate_40,3,1.3862943611198906,0,0,0,1,-0.9952451521836702,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
9849,gate_40,1,0.6931471805599453,0,0,0,1,-1.4574694208149794,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
10112,gate_30,6,1.9459101490553132,0,0,0,2,-0.6220661138097063,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
10200,gate_40,106,4.672828834461906,0,1,2,4,1.1963759578450985,-0.8985454386917293,2.0881350424523637,1.1212590769628545
10218,gate_30,22,3.1354942159291497,1,0,1,3,0.17120642730057925,1.112909772772301,-0.47889623021007877,0.17117880488574516
10276,gate_40,1,0.6931471805599453,0,0,0,1,-1.4574694208149794,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
10336,gate_30,11,2.4849066497880004,0,0,0,2,-0.26263701947978246,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
10476,gate_40,4,1.6094379124341003,0,0,0,1,-0.8464421739724883,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
10533,gate_40,21,3.091042453358316,0,0,0,3,0.14156382898967226,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
10598,gate_40,8,2.1972245773362196,0,0,0,2,-0.45447742403851354,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
10636,gate_30,246,5.5093883366279774,1,1,3,5,1.7542345409860045,1.112909772772301,2.0881350424523637,2.071339349039964
10637,gate_40,0,0.0,0,0,0,0,-1.919693689446289,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
10676,gate_40,6,1.9459101490553132,0,0,0,2,-0.6220661138097063,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
10756,gate_30,16,2.833213344056216,0,0,0,3,-0.03036916709169677,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
10884,gate_40,49,3.912023005428146,1,0,1,3,0.6890336101326218,1.112909772772301,-0.47889623021007877,0.17117880488574516
11093,gate_40,54,4.007333185232471,1,1,3,4,0.7525910758321636,1.112909772772301,2.0881350424523637,2.071339349039964
11127,gate_30,66,4.204692619390966,1,1,3,4,0.8841999500653466,1.112909772772301,2.0881350424523637,2.071339349039964
11297,gate_30,0,0.0,0,0,0,0,-1.919693689446289,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
11411,gate_30,122,4.812184355372417,1,1,3,4,1.2893050002463977,1.112909772772301,2.0881350424523637,2.071339349039964
11420,gate_30,75,4.330733340286331,1,0,1,4,0.968250035916608,1.112909772772301,-0.47889623021007877,0.17117880488574516
11599,gate_30,3,1.3862943611198906,0,0,0,1,-0.9952451521836702,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
11675,gate_40,17,2.8903717578961645,0,0,0,3,0.007746844592795635,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
11747,gate_30,1,0.6931471805599453,1,0,1,1,-1.4574694208149794,1.112909772772301,-0.47889623021007877,0.17117880488574516
11840,gate_30,24,3.2188758248682006,0,0,0,3,0.2268093415013123,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
11886,gate_30,3,1.3862943611198906,0,0,0,1,-0.9952451521836702,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
12053,gate_30,11,2.4849066497880004,1,0,1,2,-0.26263701947978246,1.112909772772301,-0.47889623021007877,0.17117880488574516
12067,gate_40,7,2.0794415416798357,0,0,0,2,-0.5330208835523608,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
12163,gate_30,47,3.871201010907891,1,0,1,3,0.6618115177828365,1.112909772772301,-0.47889623021007877,0.17117880488574516
12393,gate_40,1,0.6931471805599453,0,0,0,1,-1.4574694208149794,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
12461,gate_40,4,1.6094379124341003,0,0,0,1,-0.8464421739724883,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
12523,gate_30,31,3.4657359027997265,1,0,1,3,0.3914276537102581,1.112909772772301,-0.47889623021007877,0.17117880488574516
12558,gate_30,13,2.6390573296152584,0,0,0,2,-0.15984184517839695,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
12574,gate_30,22,3.1354942159291497,1,0,1,3,0.17120642730057925,1.112909772772301,-0.47889623021007877,0.17117880488574516
12749,gate_30,6,1.9459101490553132,1,0,1,2,-0.6220661138097063,1.112909772772301,-0.47889623021007877,0.17117880488574516
12905,gate_40,1,0.6931471805599453,0,0,0,1,-1.4574694208149794,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
12951,gate_40,2,1.0986122886681098,0,0,0,1,-1.1870855567424012,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
12967,gate_30,24,3.2188758248682006,1,0,1,3,0.2268093415013123,1.112909772772301,-0.47889623021007877,0.17117880488574516
12979,gate_30,6,1.9459101490553132,0,0,0,2,-0.6220661138097063,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
13133,gate_40,6,1.9459101490553132,0,0,0,2,-0.6220661138097063,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
13216,gate_30,24,3.2188758248682006,1,0,1,3,0.2268093415013123,1.112909772772301,-0.47889623021007877,0.17117880488574516
13228,gate_40,9,2.302585092994046,0,0,0,2,-0.3842179053411787,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
13320,gate_40,34,3.5553480614894135,0,0,0,3,0.4511854016640943,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
13321,gate_40,56,4.04305126783455,0,0,0,4,0.7764096313578769,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
13376,gate_40,12,2.5649493574615367,1,0,1,2,-0.20926064711427386,1.112909772772301,-0.47889623021007877,0.17117880488574516
13429,gate_30,60,4.110873864173311,0,1,2,4,0.8216370388531155,-0.8985454386917293,2.0881350424523637,1.1212590769628545
13494,gate_40,10,2.3978952727983707,1,0,1,2,-0.3206604396416372,1.112909772772301,-0.47889623021007877,0.17117880488574516
13633,gate_30,67,4.219507705176107,0,0,0,4,0.8940793701709222,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
13664,gate_30,42,3.7612001156935624,1,1,3,3,0.5884575681957398,1.112909772772301,2.0881350424523637,2.071339349039964
13721,gate_40,65,4.189654742026425,1,0,1,4,0.8741719616935595,1.112909772772301,-0.47889623021007877,0.17117880488574516
13758,gate_30,1,0.6931471805599453,0,0,0,1,-1.4574694208149794,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
13806,gate_30,4,1.6094379124341003,0,0,0,1,-0.8464421739724883,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
13856,gate_30,3,1.3862943611198906,0,0,0,1,-0.9952451521836702,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
13872,gate_30,1,0.6931471805599453,0,0,0,1,-1.4574694208149794,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
13893,gate_40,14,2.70805020110221,0,0,0,2,-0.11383404126860064,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
13969,gate_40,42,3.7612001156935624,0,0,0,3,0.5884575681957398,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
14143,gate_30,13,2.6390573296152584,0,0,0,2,-0.15984184517839695,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
14218,gate_30,129,4.867534450455582,0,1,2,4,1.3262151369908362,-0.8985454386917293,2.0881350424523637,1.1212590769628545
14290,gate_40,6,1.9459101490553132,1,0,1,2,-0.6220661138097063,1.112909772772301,-0.47889623021007877,0.17117880488574516
14296,gate_30,37,3.6375861597263857,0,0,0,3,0.5060257672852985,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
14381,gate_40,9,2.302585092994046,0,0,0,2,-0.3842179053411787,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
14592,gate_30,1,0.6931471805599453,0,0,0,1,-1.4574694208149794,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
14644,gate_40,2,1.0986122886681098,0,0,0,1,-1.1870855567424012,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
14834,gate_30,27,3.332204510175204,0,0,0,3,0.3023824234529125,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
15157,gate_40,38,3.6635616461296463,0,0,0,3,0.5233474855896137,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
15173,gate_30,8,2.1972245773362196,0,0,0,2,-0.45447742403851354,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
15294,gate_30,51,3.9512437185814275,1,1,3,4,0.715187890148345,1.112909772772301,2.0881350424523637,2.071339349039964
15489,gate_30,5,1.791759469228055,0,0,0,1,-0.724861288111092,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
15597,gate_40,2,1.0986122886681098,0,0,0,1,-1.1870855567424012,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
15962,gate_30,0,0.0,0,0,0,0,-1.919693689446289,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
15970,gate_40,16,2.833213344056216,1,0,1,3,-0.03036916709169677,1.112909772772301,-0.47889623021007877,0.17117880488574516
16096,gate_40,0,0.0,0,0,0,0,-1.919693689446289,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
16145,gate_40,7,2.0794415416798357,0,0,0,2,-0.5330208835523608,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
16180,gate_30,5,1.791759469228055,0,0,0,1,-0.724861288111092,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
16224,gate_40,0,0.0,0,0,0,0,-1.919693689446289,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
16454,gate_40,11,2.4849066497880004,0,0,0,2,-0.26263701947978246,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
16504,gate_40,0,0.0,0,0,0,0,-1.919693689446289,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
16506,gate_30,4,1.6094379124341003,1,0,1,1,-0.8464421739724883,1.112909772772301,-0.47889623021007877,0.17117880488574516
16638,gate_40,51,3.9512437185814275,1,0,1,4,0.715187890148345,1.112909772772301,-0.47889623021007877,0.17117880488574516
16696,gate_40,5,1.791759469228055,0,0,0,1,-0.724861288111092,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
17085,gate_40,33,3.5263605246161616,0,0,0,3,0.4318551015396127,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
17167,gate_30,21,3.091042453358316,0,0,0,3,0.14156382898967226,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
17270,gate_30,49,3.912023005428146,1,0,1,3,0.6890336101326218,1.112909772772301,-0.47889623021007877,0.17117880488574516
17422,gate_40,2,1.0986122886681098,0,0,0,1,-1.1870855567424012,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
17461,gate_30,1,0.6931471805599453,0,0,0,1,-1.4574694208149794,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
17477,gate_30,46,3.8501476017100584,1,1,3,3,0.6477720800680317,1.112909772772301,2.0881350424523637,2.071339349039964
17506,gate_40,127,4.852030263919617,1,1,3,4,1.315876190972877,1.112909772772301,2.0881350424523637,2.071339349039964
17554,gate_30,1,0.6931471805599453,0,0,0,1,-1.4574694208149794,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
17814,gate_30,14,2.70805020110221,0,0,0,2,-0.11383404126860064,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
17903,gate_40,17,2.8903717578961645,0,0,0,3,0.007746844592795635,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
17947,gate_30,104,4.653960350157523,1,1,3,4,1.183793534367982,1.112909772772301,2.0881350424523637,2.071339349039964
17995,gate_30,6,1.9459101490553132,0,0,0,2,-0.6220661138097063,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
18013,gate_40,21,3.091042453358316,1,0,1,3,0.14156382898967226,1.112909772772301,-0.47889623021007877,0.17117880488574516
18213,gate_40,36,3.6109179126442243,1,0,1,3,0.48824208245046563,1.112909772772301,-0.47889623021007877,0.17117880488574516
18235,gate_30,8,2.1972245773362196,0,0,0,2,-0.45447742403851354,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
18374,gate_40,53,3.9889840465642745,1,0,1,4,0.7403549772966835,1.112909772772301,-0.47889623021007877,0.17117880488574516
18731,gate_30,1,0.6931471805599453,0,0,0,1,-1.4574694208149794,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
18756,gate_30,38,3.6635616461296463,1,1,3,3,0.5233474855896137,1.112909772772301,2.0881350424523637,2.071339349039964
18778,gate_30,13,2.6390573296152584,0,0,0,2,-0.15984184517839695,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
18827,gate_30,20,3.044522437723423,1,0,1,3,0.11054201889418142,1.112909772772301,-0.47889623021007877,0.17117880488574516
18849,gate_40,74,4.31748811353631,1,1,3,4,0.9594174742051998,1.112909772772301,2.0881350424523637,2.071339349039964
18993,gate_40,25,3.258096538021482,1,0,1,3,0.2529636215170356,1.112909772772301,-0.47889623021007877,0.17117880488574516
19077,gate_30,11,2.4849066497880004,0,0,0,2,-0.26263701947978246,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
19091,gate_40,1,0.6931471805599453,0,0,0,1,-1.4574694208149794,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
19474,gate_40,2,1.0986122886681098,0,0,0,1,-1.1870855567424012,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
19490,gate_30,72,4.290459441148391,1,0,1,4,0.9413934402381443,1.112909772772301,-0.47889623021007877,0.17117880488574516
19529,gate_40,22,3.1354942159291497,0,0,0,3,0.17120642730057925,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
19537,gate_40,2,1.0986122886681098,0,0,0,1,-1.1870855567424012,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
19593,gate_40,18,2.9444389791664403,0,0,0,3,0.04380149865398903,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
19673,gate_40,4,1.6094379124341003,0,0,0,1,-0.8464421739724883,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
19721,gate_40,18,2.9444389791664403,0,0,0,3,0.04380149865398903,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
19728,gate_40,79,4.382026634673881,1,1,3,4,1.0024549005527492,1.112909772772301,2.0881350424523637,2.071339349039964
19746,gate_30,65,4.189654742026425,0,1,2,4,0.8741719616935595,-0.8985454386917293,2.0881350424523637,1.1212590769628545
19896,gate_40,13,2.6390573296152584,1,0,1,2,-0.15984184517839695,1.112909772772301,-0.47889623021007877,0.17117880488574516
19993,gate_30,5,1.791759469228055,1,0,1,1,-0.724861288111092,1.112909772772301,-0.47889623021007877,0.17117880488574516
20005,gate_30,4,1.6094379124341003,0,0,0,1,-0.8464421739724883,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
20052,gate_30,8,2.1972245773362196,0,0,0,2,-0.45447742403851354,-0.8985454386917293,-0.47889623021007877,-0.7789014671913643
