userid,version,sum_gamerounds,log_gamerounds,retention_1_int,retention_7_int,retention_score,engagement_tier_code,log_gamerounds_scaled,retention_1_int_scaled,retention_7_int_scaled,retention_score_scaled,cluster_id,segment_name
5479,gate_30,25,3.258096538021482,1,0,1,3,0.2529636215170356,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
5550,gate_30,29,3.4011973816621555,1,0,1,3,0.3483902273627088,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
5661,gate_30,136,4.919980925828125,1,0,1,4,1.3611889988217103,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
5712,gate_30,105,4.663439094112067,1,1,3,4,1.1901144220738125,1.112909772772301,2.088135042452364,2.071339349039964,1,Loyal Core Champions (D7 Retained)
5920,gate_40,10,2.3978952727983707,1,0,1,2,-0.3206604396416372,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
5943,gate_40,76,4.343805421853684,0,0,0,4,0.9769671359949456,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
6099,gate_40,138,4.934473933130692,0,0,0,4,1.3708536413227237,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
6123,gate_30,0,0.0,0,0,0,0,-1.919693689446289,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
6151,gate_30,94,4.553876891600541,1,1,3,4,1.11705301412779,1.112909772772301,2.088135042452364,2.071339349039964,1,Loyal Core Champions (D7 Retained)
6156,gate_40,1,0.6931471805599453,0,0,0,1,-1.4574694208149794,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
6492,gate_30,0,0.0,0,0,0,0,-1.919693689446289,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
6664,gate_40,26,3.295836866004329,1,0,1,3,0.278130708665374,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
6695,gate_40,127,4.852030263919617,1,0,1,4,1.315876190972877,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
6833,gate_40,6,1.9459101490553128,0,0,0,2,-0.6220661138097063,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
6842,gate_40,4,1.6094379124341005,0,0,0,1,-0.8464421739724883,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
6924,gate_30,21,3.091042453358316,0,0,0,3,0.1415638289896722,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
6930,gate_40,297,5.697093486505405,1,1,3,5,1.8794054686818156,1.112909772772301,2.088135042452364,2.071339349039964,1,Loyal Core Champions (D7 Retained)
7124,gate_40,108,4.691347882229144,1,1,3,4,1.2087253600356185,1.112909772772301,2.088135042452364,2.071339349039964,1,Loyal Core Champions (D7 Retained)
7253,gate_30,45,3.828641396489095,1,0,1,3,0.6334306959318887,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
7321,gate_40,33,3.5263605246161616,0,0,0,3,0.4318551015396127,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
7509,gate_40,0,0.0,0,0,0,0,-1.919693689446289,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
7527,gate_30,80,4.394449154672439,0,0,0,4,1.010738841369262,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
7564,gate_30,21,3.091042453358316,0,0,0,3,0.1415638289896722,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
7582,gate_40,3,1.3862943611198906,0,0,0,1,-0.9952451521836702,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
7767,gate_30,139,4.941642422609304,1,1,3,4,1.375633938926713,1.112909772772301,2.088135042452364,2.071339349039964,1,Loyal Core Champions (D7 Retained)
7866,gate_30,14,2.70805020110221,0,0,0,2,-0.1138340412686006,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
8063,gate_30,50,3.9318256327243257,1,0,1,3,0.7022389656121908,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
8254,gate_40,14,2.70805020110221,0,0,0,2,-0.1138340412686006,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
8256,gate_40,14,2.70805020110221,0,0,0,2,-0.1138340412686006,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
8288,gate_30,9,2.302585092994046,0,0,0,2,-0.3842179053411787,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
8317,gate_40,3,1.3862943611198906,0,0,0,1,-0.9952451521836702,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
8379,gate_30,0,0.0,0,0,0,0,-1.919693689446289,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
8464,gate_30,10,2.3978952727983707,0,0,0,2,-0.3206604396416372,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
8465,gate_40,4,1.6094379124341005,0,0,0,1,-0.8464421739724883,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
8494,gate_30,5,1.791759469228055,1,0,1,1,-0.724861288111092,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
8644,gate_30,2,1.0986122886681098,0,0,0,1,-1.1870855567424012,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
8679,gate_30,0,0.0,0,0,0,0,-1.919693689446289,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
8692,gate_30,3,1.3862943611198906,1,0,1,1,-0.9952451521836702,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
8753,gate_40,10,2.3978952727983707,1,0,1,2,-0.3206604396416372,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
8788,gate_30,19,2.995732273553991,0,1,2,3,0.0780063632901304,-0.8985454386917293,2.088135042452364,1.1212590769628543,1,Loyal Core Champions (D7 Retained)
8801,gate_40,0,0.0,0,0,0,0,-1.919693689446289,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
8885,gate_40,5,1.791759469228055,0,0,0,1,-0.724861288111092,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
9001,gate_40,16,2.833213344056216,1,0,1,3,-0.0303691670916967,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
9308,gate_40,95,4.564348191467836,1,0,1,4,1.1240357864141457,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
9443,gate_40,3,1.3862943611198906,0,0,0,1,-0.9952451521836702,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
9589,gate_30,8,2.19722457733622,0,0,0,2,-0.4544774240385135,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
9699,gate_40,8,2.19722457733622,0,0,0,2,-0.4544774240385135,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
9828,gate_40,1,0.6931471805599453,0,0,0,1,-1.4574694208149794,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
9831,gate_40,3,1.3862943611198906,0,0,0,1,-0.9952451521836702,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
9849,gate_40,1,0.6931471805599453,0,0,0,1,-1.4574694208149794,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
10112,gate_30,6,1.9459101490553128,0,0,0,2,-0.6220661138097063,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
10200,gate_40,106,4.672828834461906,0,1,2,4,1.1963759578450983,-0.8985454386917293,2.088135042452364,1.1212590769628543,1,Loyal Core Champions (D7 Retained)
10218,gate_30,22,3.1354942159291497,1,0,1,3,0.1712064273005792,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
10276,gate_40,1,0.6931471805599453,0,0,0,1,-1.4574694208149794,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
10336,gate_30,11,2.4849066497880004,0,0,0,2,-0.2626370194797824,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
10476,gate_40,4,1.6094379124341005,0,0,0,1,-0.8464421739724883,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
10533,gate_40,21,3.091042453358316,0,0,0,3,0.1415638289896722,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
10598,gate_40,8,2.19722457733622,0,0,0,2,-0.4544774240385135,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
10636,gate_30,246,5.5093883366279774,1,1,3,5,1.7542345409860045,1.112909772772301,2.088135042452364,2.071339349039964,1,Loyal Core Champions (D7 Retained)
10637,gate_40,0,0.0,0,0,0,0,-1.919693689446289,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
10676,gate_40,6,1.9459101490553128,0,0,0,2,-0.6220661138097063,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
10756,gate_30,16,2.833213344056216,0,0,0,3,-0.0303691670916967,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
10884,gate_40,49,3.912023005428146,1,0,1,3,0.6890336101326218,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
11093,gate_40,54,4.007333185232471,1,1,3,4,0.7525910758321636,1.112909772772301,2.088135042452364,2.071339349039964,1,Loyal Core Champions (D7 Retained)
11127,gate_30,66,4.204692619390966,1,1,3,4,0.8841999500653466,1.112909772772301,2.088135042452364,2.071339349039964,1,Loyal Core Champions (D7 Retained)
11297,gate_30,0,0.0,0,0,0,0,-1.919693689446289,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
11411,gate_30,122,4.812184355372417,1,1,3,4,1.2893050002463975,1.112909772772301,2.088135042452364,2.071339349039964,1,Loyal Core Champions (D7 Retained)
11420,gate_30,75,4.330733340286331,1,0,1,4,0.968250035916608,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
11599,gate_30,3,1.3862943611198906,0,0,0,1,-0.9952451521836702,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
11675,gate_40,17,2.8903717578961645,0,0,0,3,0.0077468445927956,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
11747,gate_30,1,0.6931471805599453,1,0,1,1,-1.4574694208149794,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
11840,gate_30,24,3.218875824868201,0,0,0,3,0.2268093415013123,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
11886,gate_30,3,1.3862943611198906,0,0,0,1,-0.9952451521836702,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
12053,gate_30,11,2.4849066497880004,1,0,1,2,-0.2626370194797824,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
12067,gate_40,7,2.079441541679836,0,0,0,2,-0.5330208835523608,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
12163,gate_30,47,3.871201010907891,1,0,1,3,0.6618115177828365,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
12393,gate_40,1,0.6931471805599453,0,0,0,1,-1.4574694208149794,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
12461,gate_40,4,1.6094379124341005,0,0,0,1,-0.8464421739724883,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
12523,gate_30,31,3.4657359027997265,1,0,1,3,0.3914276537102581,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
12558,gate_30,13,2.6390573296152584,0,0,0,2,-0.1598418451783969,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
12574,gate_30,22,3.1354942159291497,1,0,1,3,0.1712064273005792,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
12749,gate_30,6,1.9459101490553128,1,0,1,2,-0.6220661138097063,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
12905,gate_40,1,0.6931471805599453,0,0,0,1,-1.4574694208149794,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
12951,gate_40,2,1.0986122886681098,0,0,0,1,-1.1870855567424012,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
12967,gate_30,24,3.218875824868201,1,0,1,3,0.2268093415013123,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
12979,gate_30,6,1.9459101490553128,0,0,0,2,-0.6220661138097063,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
13133,gate_40,6,1.9459101490553128,0,0,0,2,-0.6220661138097063,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
13216,gate_30,24,3.218875824868201,1,0,1,3,0.2268093415013123,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
13228,gate_40,9,2.302585092994046,0,0,0,2,-0.3842179053411787,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
13320,gate_40,34,3.555348061489413,0,0,0,3,0.4511854016640943,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
13321,gate_40,56,4.04305126783455,0,0,0,4,0.7764096313578769,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
13376,gate_40,12,2.5649493574615367,1,0,1,2,-0.2092606471142738,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
13429,gate_30,60,4.110873864173311,0,1,2,4,0.8216370388531155,-0.8985454386917293,2.088135042452364,1.1212590769628543,1,Loyal Core Champions (D7 Retained)
13494,gate_40,10,2.3978952727983707,1,0,1,2,-0.3206604396416372,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
13633,gate_30,67,4.219507705176107,0,0,0,4,0.8940793701709222,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
13664,gate_30,42,3.7612001156935615,1,1,3,3,0.5884575681957398,1.112909772772301,2.088135042452364,2.071339349039964,1,Loyal Core Champions (D7 Retained)
13721,gate_40,65,4.189654742026425,1,0,1,4,0.8741719616935595,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
13758,gate_30,1,0.6931471805599453,0,0,0,1,-1.4574694208149794,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
13806,gate_30,4,1.6094379124341005,0,0,0,1,-0.8464421739724883,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
13856,gate_30,3,1.3862943611198906,0,0,0,1,-0.9952451521836702,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
13872,gate_30,1,0.6931471805599453,0,0,0,1,-1.4574694208149794,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
13893,gate_40,14,2.70805020110221,0,0,0,2,-0.1138340412686006,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
13969,gate_40,42,3.7612001156935615,0,0,0,3,0.5884575681957398,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
14143,gate_30,13,2.6390573296152584,0,0,0,2,-0.1598418451783969,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
14218,gate_30,129,4.867534450455582,0,1,2,4,1.3262151369908362,-0.8985454386917293,2.088135042452364,1.1212590769628543,1,Loyal Core Champions (D7 Retained)
14290,gate_40,6,1.9459101490553128,1,0,1,2,-0.6220661138097063,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
14296,gate_30,37,3.6375861597263857,0,0,0,3,0.5060257672852985,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
14381,gate_40,9,2.302585092994046,0,0,0,2,-0.3842179053411787,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
14592,gate_30,1,0.6931471805599453,0,0,0,1,-1.4574694208149794,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
14644,gate_40,2,1.0986122886681098,0,0,0,1,-1.1870855567424012,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
14834,gate_30,27,3.332204510175204,0,0,0,3,0.3023824234529125,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
15157,gate_40,38,3.6635616461296463,0,0,0,3,0.5233474855896137,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
15173,gate_30,8,2.19722457733622,0,0,0,2,-0.4544774240385135,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
15294,gate_30,51,3.951243718581428,1,1,3,4,0.715187890148345,1.112909772772301,2.088135042452364,2.071339349039964,1,Loyal Core Champions (D7 Retained)
15489,gate_30,5,1.791759469228055,0,0,0,1,-0.724861288111092,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
15597,gate_40,2,1.0986122886681098,0,0,0,1,-1.1870855567424012,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
15962,gate_30,0,0.0,0,0,0,0,-1.919693689446289,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
15970,gate_40,16,2.833213344056216,1,0,1,3,-0.0303691670916967,1.112909772772301,-0.4788962302100787,0.1711788048857451,2,Short-Term Adopters (D1 Only)
16096,gate_40,0,0.0,0,0,0,0,-1.919693689446289,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,0,Immediate Bouncers
16145,gate_40,7,2.079441541679836,0,0,0,2,-0.5330208835523608,-0.8985454386917293,-0.4788962302100787,-0.7789014671913643,3,Day-0 Bingers (Unretained)
